time,connected,pir,temp,photo,sleep,lightover,fanover
1406591632,1,1,79,151,0,0,0
1406591637,1,1,79,151,0,0,0
1406591641,1,1,79,151,0,0,0
1406591644,1,1,79,150,0,0,0
1406591648,1,1,79,152,0,0,0
1406591651,1,1,79,152,0,0,0
1406591655,1,1,79,152,0,0,0
1406591658,1,1,79,152,0,0,0
1406591662,1,1,79,151,0,0,0
1406591665,1,1,79,151,0,0,0
1406591669,1,1,79,151,0,0,0
1406591672,1,1,79,151,0,0,0
1406591676,1,1,79,152,0,0,0
1406591680,1,1,79,152,0,0,0
1406591683,1,1,79,151,0,0,0
1406591687,1,1,79,151,0,0,0
1406591690,1,1,79,151,0,0,0
1406591694,1,1,79,152,0,0,0
1406591697,1,1,79,153,0,0,0
1406591701,1,1,79,153,0,0,0
1406591704,1,1,79,152,0,0,0
1406591708,1,1,79,152,0,0,0
1406591711,1,1,79,152,0,0,0
1406591715,1,1,79,151,0,0,0
1406591718,1,1,79,152,0,0,0
1406591722,1,1,79,152,0,0,0
1406591725,1,1,79,151,0,0,0
1406591729,1,1,79,151,0,0,0
1406591732,1,1,79,152,0,0,0
1406591736,1,1,79,152,0,0,0
1406591739,1,1,79,152,0,0,0
1406591743,1,1,79,153,0,0,0
1406591746,1,1,79,152,0,0,0
1406591750,1,1,79,151,0,0,0
1406591753,1,1,79,152,0,0,0
1406591757,1,1,79,152,0,0,0
1406591760,1,1,79,152,0,0,0
1406591764,1,1,79,152,0,0,0
1406591767,1,1,79,152,0,0,0
1406591771,1,1,79,151,0,0,0
1406591774,1,1,79,153,0,0,0
1406591778,1,1,79,153,0,0,0
1406591781,1,1,79,151,0,0,0
1406591785,1,1,79,152,0,0,0
1406591788,1,1,79,152,0,0,0
1406591792,1,1,79,152,0,0,0
1406591795,1,1,79,153,0,0,0
1406591799,1,1,79,153,0,0,0
1406591802,1,1,79,152,0,0,0
1406591806,1,1,79,152,0,0,0
1406591809,1,1,79,153,0,0,0
1406591813,1,1,79,153,0,0,0
1406591817,1,1,79,152,0,0,0
1406591820,1,1,79,152,0,0,0
1406591824,1,1,79,152,0,0,0
1406591827,1,1,79,152,0,0,0
1406591831,1,1,79,152,0,0,0
1406591834,1,1,79,151,0,0,0
1406591838,1,1,79,151,0,0,0
1406591841,1,1,79,151,0,0,0
1406591845,1,1,79,151,0,0,0
1406591848,1,1,79,150,0,0,0
1406591852,1,1,79,151,0,0,0
1406591855,1,1,79,151,0,0,0
1406591859,1,1,79,151,0,0,0
1406591862,1,1,79,151,0,0,0
1406591866,1,1,79,151,0,0,0
1406591869,1,1,79,151,0,0,0
1406591873,1,1,79,150,0,0,0
1406591876,1,1,79,151,0,0,0
1406591880,1,1,79,151,0,0,0
1406591883,1,1,79,151,0,0,0
1406591887,1,1,79,150,0,0,0
1406591890,1,1,79,150,0,0,0
1406591894,1,1,79,151,0,0,0
1406591897,1,1,79,151,0,0,0
1406591901,1,1,79,151,0,0,0
1406591904,1,1,79,150,0,0,0
1406591908,1,1,79,150,0,0,0
1406591911,1,1,79,151,0,0,0
1406591915,1,1,79,152,0,0,0
1406591918,1,1,79,150,0,0,0
1406591922,1,1,79,150,0,0,0
1406591925,1,1,79,151,0,0,0
1406591929,1,1,79,151,0,0,0
1406591932,1,1,79,150,0,0,0
1406591936,1,1,79,150,0,0,0
1406591939,1,1,79,151,0,0,0
1406591943,1,1,79,151,0,0,0
1406591947,1,1,79,150,0,0,0
1406591950,1,1,79,150,0,0,0
1406591954,1,1,79,151,0,0,0
1406591957,1,1,79,151,0,0,0
1406591961,1,1,79,151,0,0,0
1406591964,1,1,79,151,0,0,0
1406591968,1,1,79,150,0,0,0
1406591971,1,1,79,150,0,0,0
1406591975,1,1,79,151,0,0,0
1406591978,1,1,79,150,0,0,0
1406591982,1,1,79,151,0,0,0
1406591985,1,1,79,151,0,0,0
1406591989,1,1,79,150,0,0,0
1406591992,1,1,79,150,0,0,0
1406591996,1,1,79,151,0,0,0
1406591999,1,1,79,151,0,0,0
1406592003,1,1,79,151,0,0,0
1406592006,1,1,79,151,0,0,0
1406592010,1,1,79,151,0,0,0
1406592013,1,1,79,151,0,0,0
1406592017,1,1,79,151,0,0,0
1406592020,1,1,79,151,0,0,0
1406592024,1,1,79,151,0,0,0
1406592027,1,1,79,151,0,0,0
1406592031,1,1,79,151,0,0,0
1406592034,1,1,79,151,0,0,0
1406592038,1,1,79,151,0,0,0
1406592041,1,1,79,152,0,0,0
1406592045,1,1,79,150,0,0,0
1406592048,1,1,79,150,0,0,0
1406592052,1,1,79,151,0,0,0
1406592055,1,1,79,151,0,0,0
1406592059,1,1,79,151,0,0,0
1406592062,1,1,79,151,0,0,0
1406592066,1,1,79,150,0,0,0
1406592069,1,1,79,151,0,0,0
1406592073,1,1,79,150,0,0,0
1406592076,1,1,79,150,0,0,0
1406592080,1,1,79,151,0,0,0
1406592084,1,1,79,150,0,0,0
1406592087,1,1,79,151,0,0,0
1406592091,1,1,79,152,0,0,0
1406592094,1,1,79,150,0,0,0
1406592098,1,1,79,150,0,0,0
1406592101,1,1,79,151,0,0,0
1406592105,1,1,79,151,0,0,0
1406592108,1,1,79,151,0,0,0
1406592112,1,1,79,151,0,0,0
1406592115,1,1,79,150,0,0,0
1406592119,1,1,79,151,0,0,0
1406592122,1,1,79,150,0,0,0
1406592126,1,1,79,151,0,0,0
1406604295,1,1,79,151,0,0,105
1406604297,0,1,1,74,0,1,0
1406604300,1,0,1,1,74,74,74
1406604302,1,1,5,74,1,0,1
1406604304,1,0,1,0,1,5,74
1406604307,1,0,5,74,74,1,1
1406604308,1,0,1,1,6,74,6
1406604311,1,74,4,74,1,1,1
1406604311,1,1,1,0,74,0,0
1406604315,1,1,1,1,1,0,4
1406604316,1,6,74,1,0,74,1
1406604319,1,0,74,1,1,0,1
1406604320,1,4,74,1,74,4,0
1406604324,1,104,105,74,0,1,1
1406604324,1,0,1,105,1,74,1
1406604328,1,1,74,74,1,1,74
1406604328,1,74,6,105,74,74,6
1406604332,1,1,1,1,1,1,73
1406604333,1,7,0,0,1,0,104
1406604336,1,1,1,73,73,73,104
1406604337,1,0,1,1,1,73,73
1406604340,1,0,1,1,1,5,73
1406604341,1,0,5,73,1,1,73
